nuevo	nove
recurrente	recurrente
despierto	eveliate
espléndido	splendite
acelerado	accelerate
mudo	mute
feroz	feroce
residente	residente
sujeto	subjecte
capitalista	capitalista
mayoritario	majoritari
titular	titular
inolvidable	inoblidabile
prudente	prudente
comunal	communal
rosado	rosate
opositor	oppositor
regulador	regulante
inmerso	immerse
cualitativo	qualitative
sabio	sage
rebelde	rebelle
expresivo	expressive
constructivo	constructive
pasivo	passive
innumerable	innumerabile
triple	triple
tardío	tardive
holandés	hollandese
didáctico	didactic
residencial	residential
suizo	suisse
satisfactorio	satisfactori
exagerado	exaggerate
propicio	propitie
primordial	primordial
participante	participante
medieval	medieval
interamericano	interamerican
mojado	molliate
lineal	lineal
penitenciario	penitentiari
respetuoso	respectuose
fascinante	fascinante
selectivo	selective
electo	electe
súbito	subite
querido	amate
atómico	atomic
vulgar	vulgar
cardíaco	cardiac
circular	circular
casual	casual
fugaz	fugace
gastronómico	gastronomic
sectorial	sectorial
epidemiológico	epidemiologic
competente	competente
autoritario	autoritari
decidido	decidite
ganador	ganiante
estelar	stellar
vago	vage
afortunado	fortunate
marginal	marginal
idóneo	idonee
demográfico	demographic
aplicable	applicabile
torpe	turpide
guatemalteco	guatemaltec
previsible	previsibile
ilustre	illustre
desigual	inequal
inquietante	inquietante
ácido	acide
hídrico	hydric
meteorológico	meteorologic
portátil	portabile
perpetuo	perpetue
inverso	inverse
beneficioso	benefic
implícito	implicite
veloz	veloce
pesquero	pescante
compacto	compacte
asombroso	surprendente
musulmán	musulman
periódico	periodic
liso	lisie
renal	renal
ancestral	ancestral
precoz	precoce
imparable	imparabile
cardiaco	cardiac
creador	creante
brusco	brusc
perverso	perverse
dudoso	dubitose
siniestro	sinistre
aproximado	approximate
casero	domestic
cariñoso	affectuose
nicaragüense	nicaraguan
moreno	brunette
persistente	persistente
inusual	inusual
ganadero	gregari
sintético	synthetic
solemne	solemne
medioambiental	ambiental
panameño	panamen
discográfico	discographic
evolutivo	evolutive
transitorio	transitori
equilibrado	equilibrate
indiscutible	indiscutibile
heroico	heroic
egipcio	egyptian
sordo	surde
bélico	bellic
virgen	virgine
culto	culte
progresista	progressista
incipiente	incipiente
ingenuo	ingenue
frontal	frontal
tercero	tertie
inexistente	inexistente
navideño	de natal
emotivo	emotive
rotundo	rotunde
apretado	premite
suicida	suicidal
maya	maya
atmosférico	atmospheric
soberano	soveran
acertado	sensate
implacable	implacabile
patrimonial	patrimonial
formativo	formative
óseo	ossee
indefinido	indefinite
porcentual	percentual
cuantitativo	quantitative
lujoso	luxuose
pionero	pioner
deseable	desirabile
medicinal	medicinal
prematuro	prematur
uniforme	uniforme
caribeño	caribe
experto	experte
incompleto	incomplete
lácteo	lactee
delictivo	delictuose
pésimo	pessime
residual	residual
legendario	legendari
influyente	influente
veterano	veteran
genérico	generic
homogéneo	homogenee
cúbico	cubic
explosivo	explosive
recreativo	recreative
grato	grate
costarricense	costarican
manual	manual
transversal	transversal
festivo	festive
empírico	empiric
productor	productor
comunicativo	communicative
ibérico	iberic
efímero	ephemere
guerrillero	guerriller
confiable	fidabile
cuidadoso	zelose
fisiológico	physiologic
mercantil	mercantil
entusiasta	enthusiasta
interactivo	interactive
radial	radial
sombrío	umbrose
ágil	agile
inspirado	inspirate
ejemplar	exemplar
infeccioso	infectiose
analítico	analytic
iluminado	illuminate
hábil	habile
incomprensible	incomprensibile
instrumental	instrumental
decente	decente
hostil	hostil
tenue	tenue
sueco	svedese
afín	affin
reiterado	reiterate
eólico	eolic
disperso	disperse
multimedia	multimedia
exhaustivo	exhaustive
organizativo	organisative
menudo	minute
geométrico	geometric
postal	postal
inexplicable	inexplicabile
arbitrario	arbitrari
memorable	memorabile
mineral	mineral
psiquiátrico	psychiatric
intestinal	intestinal
endémico	endemic
psíquico	psychic
instantáneo	instantanee
refinado	raffinate
temeroso	timorose
bravo	brave
pensativo	pensative
sensual	sensual
graso	grasse
sinfónico	symphonic
neoliberal	neoliberal
gracioso	gratiose
imperial	imperial
patrio	patriotic
factible	factibile
encontrado	incontrate
cómico	comic
pulmonar	pulmonar
obeso	obese
contiguo	contigue
deficiente	deficiente
marrón	brun
comparable	comparabile
consecuente	consequente
pictórico	pictoric
genuino	genuin
usual	usual
ambiguo	ambigue
corrupto	corrupte
puertorriqueño	portorican
apasionado	appassionate
fértil	fertile
conflictivo	conflictual
digestivo	digestive
drástico	drastic
espantoso	espaventabile
azulgrana	azulgrana
fósil	fossile
homosexual	homosexual
desapercibido	inappercipite
expreso	expresse
trascendental	transcendental
nazi	nazi
gradual	gradual
adjunto	adjuncte
flojo	flaccide
certero	precise
transnacional	transnational
periférico	peripheric
canario	canari
turco	turc
flamante	flammante
futbolístico	footballistic
organizacional	organisational
geológico	geologic
místico	mystic
equitativo	equitative
emocionante	emotionante
melancólico	melancholic
burocrático	bureaucratic
comparativo	comparative
insignificante	insignificante
calificado	qualificate
soltero	celibe
cósmico	cosmic
fallido	fallite
rojizo	rossastre
ministerial	ministerial
inherente	inherente
nocivo	nocive
patriótico	patriotic
irreversible	irreversibile
transgénico	transgenic
volcánico	vulcanic
racial	racial
burgués	burgese
consiguiente	consequential
lúdico	ludic
patético	pathetic
arriesgado	riscate
estándar	standard
liviano	frivole
polaco	polac
ocasional	occasional
estático	static
duradero	durabile
astronómico	astronomic
autóctono	autochthone
resultante	resultante
rutinario	routinari
tricolor	tricolor
erróneo	erronee
textil	textile
gemelo	gemine
detenido	detenite
naval	naval
magno	magne
sangriento	sanguinose
urbanístico	urbanistic
mediocre	mediocre
canadiense	canadiano
inseguro	insecur
cambiante	cambiante
letal	lethal
perjudicial	prejudicial
agradecido	regratiate
imponente	imponente
tembloroso	tremulante
castellano	castilian
inaugural	inaugural
auxiliar	auxiliar
patente	patente
magistral	magistral
acondicionado	conditionate
enigmático	enigmatic
amarillento	jalnastre
lírico	lyric
vocal	vocal
latente	latente
galo	gallic
arduo	ardue
maligno	maligne
paterno	paterne
carente	carente
distinguido	distinguite
robusto	robuste
difuso	diffuse
glorioso	gloriose
ficticio	ficticie
preferible	preferibile
inmune	immun
dañino	damnose
ardiente	ardente
logístico	logistic
fabuloso	fabulose
táctico	tactic
predominante	predominante
trascendente	transcendente
barroco	baroc
proporcional	proportional
formidable	formidabile
impaciente	impatiente
salado	salate
rector	regente
opaco	opac
placentero	placente
sublime	sublime
macroeconómico	macroeconomic
reproductor	reproductor
podrido	putrefacite
bíblico	biblic
coordinado	coordinate
comprensible	comprensibile
desordenado	disordinate
enérgico	energic
niño	infante
admirable	admirabile
interesado	interessate
marxista	marxista
miserable	miserabile
prohibido	prohibite
inalámbrico	sin filo
convincente	convincente
minucioso	minutiose
alarmante	alarmante
hipotecario	hypothecari
idiota	idiota
precursor	precursor
aledaño	limitante
metabólico	metabolic
vertiginoso	vertiginose
australiano	australian
facial	facial
irracional	irrational
belga	belge
investigador	investigante
áspero	aspere
neutro	neutre
azteca	azteca
botánico	botanic
ferroviario	ferroviari
viral	viral
viviente	vivente
acostumbrado	accostumate
controvertido	controvertite
sociocultural	sociocultural
forense	forense
férreo	ferree
colgado	pendite
inestable	instabile
atroz	atroce
numérico	numeric
sensato	sensate
cooperativo	cooperative
radiante	radiante
turbio	turbide
sobrio	sobrie
constituyente	constituente
hormonal	hormonal
caótico	chaotic
encantador	incantante
obsesivo	obsessive
invernal	hibernal
culinario	culinari
nutritivo	nutritive
matrimonial	matrimonial
diagnóstico	diagnostic
rítmico	rhythmic
retirado	retirate
descalzo	discalceate
eclesiástico	ecclesiastic
rústico	rustic
contaminante	contaminante
patológico	pathologic
vecinal	vicinal
sobresaliente	excellente
precedente	precedente
selecto	selecte
minoritario	minoritari
unánime	unanime
heterogéneo	heterogenee
morado	morate
multilateral	multilateral
subversivo	subversive
existencial	existential
fluido	fluite
neurológico	neurologic
planetario	planetari
aromático	aromatic
súper	super
exento	exempte
inmortal	immortal
curricular	curricular
benéfico	benefic
desafiante	defiante
portuario	portuari
enemigo	inimic
oficialista	partisan del governamento
decorativo	decorative
perplejo	perplexe
bonaerense	bonaerese
grupal	de gruppo
caluroso	calorose
sísmico	seismic
ilustrado	illustrate
farmacológico	pharmacologic
descomunal	extraordinari
traumático	traumatic
feminista	feminista
incorrecto	incorrecte
milagroso	miraculose
nasal	nasal
depresivo	depressive
hidroeléctrico	hydroelectric
improbable	improbabile
prehispánico	prehispanic
afilado	affilate
amenazante	menaciante
nítido	nitide
problemático	problematic
amazónico	amazonie
educacional	educational
caprichoso	capriciose
auditivo	auditive
paradójico	paradoxe
cumplido	complite
haitiano	haitian
antiterrorista	antiterrorista
homólogo	homologe
asesino	assassin
bendito	benedicte
entrañable	comportabile
visitante	visitante
cambiario	cambial
estéril	sterile
hipotético	hypothetic
intrínseco	intrinsec
alterno	alterne
armónico	harmonic
terminal	terminal
ritual	ritual
aficionado	affectionate
incesante	incessante
delantero	frontal
surrealista	surrealista
incondicional	inconditional
creíble	credibile
lúcido	lucide
hegemónico	hegemonic
exportador	exportante
esporádico	sporadic
devastador	devastante
amante	amante
polar	polar
frenético	phrenetic
celoso	jelose
ingenioso	ingeniose
audaz	audace
descriptivo	descriptive
foráneo	foranee
anormal	anormal
organizado	organisate
involuntario	involuntari
plateado	argentee
plural	plural
declarado	declarate
inadvertido	inadvertite
perdido	perdite
sirio	syrie
sociológico	sociologic
anciano	ancian
grotesco	grottesc
vehicular	vehicular
agitado	agitate
escandaloso	scandalose
ilimitado	illimitate
reglamentario	regulamentari
óptico	optic
congénito	congenite
prometedor	promittente
dental	dental
protagonista	protagonista
comprometido	compromittite
domiciliario	domiciliari
inmunológico	immunologic
penoso	penose
inaceptable	inacceptabile
reflexivo	reflexive
sensorial	sensorial
gremial	corporative
tangible	tangibile
respetable	respectabile
confidencial	confidential
incompatible	incompatibile
indudable	indubitabile
mestizo	mesticie
diferencial	differential
sistémico	systemic
acústico	acustic
asturiano	asturian
borroso	brumose
partidista	partitari
capital	capital
dichoso	fortunate
estimado	estimate
indefenso	indefense
abdominal	abdominal
higiénico	hygienic
temible	timibile
preciado	preciate
hidráulico	hydraulic
desempleado	disempleate
sabroso	saporose
preparatorio	preparatori
atlántico	atlantic
cordial	cordial
interpretativo	interpretative
politécnico	polytechnic
fiable	fidibile
disciplinario	disciplinari
lunar	lunar
rocoso	roccose
manifiesto	manifeste
enano	inan
ineludible	ineludibile
protagónico	protagonista
apacible	agradabile
nefasto	nefaste
lluvioso	pluviose
desierto	deserte
fúnebre	funebre
impositivo	impositive
hepático	hepatic
aleatorio	aleatori
ambulante	ambulante
unitario	unitari
jugoso	succose
paulatino	gradual
aconsejable	consiliabile
fundador	fundante
bibliográfico	bibliographic
montañoso	montaniose
antropológico	anthropologic
destructivo	destructive
ruidoso	ruitose
libertador	liberante
sobrenatural	supernatural
interino	interimari
minúsculo	minuscule
vascular	vascular
educado	educate
agotado	exhaurite
próspero	prospere
imperceptible	imperceptibile
inconfundible	inconfundibile
excluyente	excludente
oriundo	originari
tajante	taxante
vigoroso	vigorose
abrupto	abrupte
irlandés	irlandese
irreal	irreal
atónito	attonite
hotelero	hoteler
episcopal	episcopal
emprendedor	interprendente
obsoleto	obsolete
abrumador	disturbante
obligado	obligate
impactante	impingente
cabrón	putan
conmovedor	commovente
fluvial	fluvial
épico	epic
prodigioso	prodigiose
propenso	propense
majestuoso	majestose
análogo	analoge
milenario	millenari
cuántico	quantic
marroquí	marocchin
soberbio	superbe
deprimido	deprimite
atrevido	osate
impreciso	imprecise
venidero	veniente
ocular	ocular
talentoso	talentose
escueto	simple
impensable	impensabile
neoyorquino	new-yorkese
procesal	processual
racista	racista
inofensivo	inoffensive
distintivo	distinctive
inverosímil	inverosimile
monstruoso	monstruose
innegable	innegabile
intermitente	intermittente
contable	contabile
inusitado	inusitate
gay	gay
inseparable	inseparabile
jerárquico	hierarchic
apresurado	hastate
monótono	monotone
folclórico	folkloric
huérfano	orphan
propietario	proprietari
sorpresivo	surprendente
hambriento	famelic
inequívoco	inequivoc
coronario	coronari
ascendente	ascendente
revelador	revelante
honrado	honorate
represivo	repressive
gobernante	governante
elocuente	eloquente
leonés	leonese
defensor	defendente
fotovoltaico	photovoltaic
incansable	infatigabile
bárbaro	barbare
apasionante	passionante
bacteriano	bacterian
fascista	fascista
saturado	saturate
rival	rival
irresponsable	irresponsabile
causante	causante
ecuatorial	equatorial
conforme	conforme
semántico	semantic
cristalino	crystallin
exhausto	exhauste
vistoso	vistose
generacional	generational
hidrológico	hydrologic
unilateral	unilateral
evangélico	evangelic
rectangular	rectangular
electromagnético	electromagnetic
inerte	inerte
causal	causal
leal	loyal
ávido	avide
documentado	documentate
tinto	rubie
adquisitivo	acquisitive
estimulante	stimulante
íntegro	integre
híbrido	hybride
hueco	cave
egoísta	egoista
nuboso	nubilose
prominente	prominente
céntrico	centric
seductor	seductor
desmedido	disproportionate
inagotable	inexhauribile
macabro	macabre
integrante	integrante
comprensivo	comprensive
imprevisto	impreviste
angosto	stricte
asesor	assessor
indeciso	indecise
engañoso	fallace
infernal	infernal
submarino	submarin
cronológico	chronologic
retórico	rhetoric
matutino	matutin
catastrófico	catastrophic
alérgico	allergic
naranja	orange
promocional	promotional
delirante	delirante
flamenco	flaminge
vertebral	vertebral
ecologista	ecologista
metafísico	metaphysic
austero	auster
bursátil	bursista
pragmático	pragmatic
despiadado	impietose
austral	austral
peronista	peronista
contagioso	contagiose
indebido	indebite
autobiográfico	autobiographic
